Order No,Extern Order No,Order Date,Allocation Date,Order Type,SKU Code,SKU Description,Size,Pick Date,Pick User,Bin,Qty,Pack Size ,Brand Code,Primary Supplier,Supplier SKU,LPN,Pack User,Customer Name,Picklist No.,Source WH
PWH20412,ERP-B2B-SALE-2026-23667,2026-08-13 17:33:00,2026-08-17 12:13:00,Third Party,STT2504005097,A4 Size 300 Pages 6 subject Spiral Binding Notebook  set of 3| Ruled Register Notebooks for Students & Office | Premium Quality Plastic cover Spiral Register for Writing & Note-Taking,Size,2026-08-17 12:17:00,deepakb2b,GP_B2B,3,,PW,STT2504005097,Default Vendor,PRIME260800031569,Princeob,COCOBLUE RETAIL LIMITED,56268,PWH
PWH20412,ERP-B2B-SALE-2026-23667,2026-08-13 17:33:00,2026-08-13 17:50:00,Third Party,STT2502005113,A4 Size 300 Pages 6 subject Spiral Binding Notebook  | Ruled Register Notebooks for Students & Office | Premium Quality Plastic cover Spiral Register for Writing & Note-Taking,,2026-08-17 04:34:00,Anas01,MTR.G0.R08.A02.L1.B2,7,,PW,STT2502005113,Default Vendor,PRIME260800031585,Princeob,COCOBLUE RETAIL LIMITED,56083,PWH
PWH20412,ERP-B2B-SALE-2026-23667,2026-08-13 17:33:00,2026-08-13 17:50:00,Third Party,STT2502004676,A4 Size 300 Pages Spiral Binding Notebook  | Unruled Register Notebooks for Students & Office | Premium Quality Spiral Register for Writing & Note-Taking,,2026-08-16 22:12:00,ManishKY,MTR.G0.R26.A04.L2.B2,14,,PW,STT2502004676,Default Vendor,PRIME260800031578,Princeob,COCOBLUE RETAIL LIMITED,56083,PWH
PWH20412,ERP-B2B-SALE-2026-23667,2026-08-13 17:33:00,2026-08-13 17:50:00,Third Party,STT2504004672,"5-Subject Spiral Notebook Single | 250 Pages  ruled| Multi-Sectioned | High-Quality Paper | Perfect for School, College & Exam Preparation for girls",,2026-08-16 22:06:00,ManishKY,MTR.G0.R23.A07.L3.B2,1,,PW,STT2504004672,Default Vendor,PRIME260800031576,Princeob,COCOBLUE RETAIL LIMITED,56083,PWH
PWH20412,ERP-B2B-SALE-2026-23667,2026-08-13 17:33:00,2026-08-13 17:50:00,Third Party,STT2502004741,"Single Subject Spiral Notebook Single | 250 Pages unruled | High-Quality Paper | Perfect for School, College & Exam Preparation",,2026-08-16 22:01:00,ManishKY,MTR.G0.R03.A12.L2.B2,3,,PW,STT2502004741,Default Vendor,PRIME260800031575,Princeob,COCOBLUE RETAIL LIMITED,56083,PWH
PWH20412,ERP-B2B-SALE-2026-23667,2026-08-13 17:33:00,2026-08-13 17:50:00,Third Party,STT2502005112,A4 Size 300 Pages Spiral Binding Notebook  | Ruled Register Notebooks for Students & Office | Premium Quality Plastic cover Spiral Register for Writing & Note-Taking,,2026-08-16 22:08:00,ManishKY,MTR.G0.R22.A02.L1.B1,8,,PW,STT2502005112,Default Vendor,PRIME260800031577,Princeob,COCOBLUE RETAIL LIMITED,56083,PWH
PWH20413,ERP-B2B-SALE-2026-23666,2026-08-13 17:33:00,2026-08-13 17:50:00,Third Party,STT2502005112,A4 Size 300 Pages Spiral Binding Notebook  | Ruled Register Notebooks for Students & Office | Premium Quality Plastic cover Spiral Register for Writing & Note-Taking,,2026-08-17 04:32:00,Anas01,MTR.G0.R22.A02.L1.B1,4,,PW,STT2502005112,Default Vendor,PRIME260800031580,Princeob,COCOBLUE RETAIL LIMITED,56084,PWH
PWH20413,ERP-B2B-SALE-2026-23666,2026-08-13 17:33:00,2026-08-13 17:50:00,Third Party,STT2502005112,A4 Size 300 Pages Spiral Binding Notebook  | Ruled Register Notebooks for Students & Office | Premium Quality Plastic cover Spiral Register for Writing & Note-Taking,,2026-08-16 22:27:00,ManishKY,MTR.G0.R33.A08.L1.B2,12,,PW,STT2502005112,Default Vendor,PRIME260800031580,Princeob,COCOBLUE RETAIL LIMITED,56084,PWH
PWH20413,ERP-B2B-SALE-2026-23666,2026-08-13 17:33:00,2026-08-13 17:50:00,Third Party,STT2502005113,A4 Size 300 Pages 6 subject Spiral Binding Notebook  | Ruled Register Notebooks for Students & Office | Premium Quality Plastic cover Spiral Register for Writing & Note-Taking,,2026-08-17 04:31:00,Anas01,MTR.G0.R08.A02.L1.B2,1,,PW,STT2502005113,Default Vendor,PRIME260800031581,Princeob,COCOBLUE RETAIL LIMITED,56084,PWH
PWH20413,ERP-B2B-SALE-2026-23666,2026-08-13 17:33:00,2026-08-13 17:50:00,Third Party,STT2504004672,"5-Subject Spiral Notebook Single | 250 Pages  ruled| Multi-Sectioned | High-Quality Paper | Perfect for School, College & Exam Preparation for girls",,2026-08-16 22:31:00,ManishKY,MTR.G0.R23.A07.L3.B2,3,,PW,STT2504004672,Default Vendor,PRIME260800031582,Princeob,COCOBLUE RETAIL LIMITED,56084,PWH
PWH20413,ERP-B2B-SALE-2026-23666,2026-08-13 17:33:00,2026-08-13 17:50:00,Third Party,STT2502004676,A4 Size 300 Pages Spiral Binding Notebook  | Unruled Register Notebooks for Students & Office | Premium Quality Spiral Register for Writing & Note-Taking,,2026-08-16 22:36:00,ManishKY,SPR.R18.A10.L0.B4,14,,PW,STT2502004676,Default Vendor,PRIME260800031583,Princeob,COCOBLUE RETAIL LIMITED,56084,PWH
PWH20413,ERP-B2B-SALE-2026-23666,2026-08-13 17:33:00,2026-08-13 17:50:00,Third Party,STT2502004676,A4 Size 300 Pages Spiral Binding Notebook  | Unruled Register Notebooks for Students & Office | Premium Quality Spiral Register for Writing & Note-Taking,,2026-08-17 04:41:00,Anas01,SPR.R4.A2.L5.B1,22,,PW,STT2502004676,Default Vendor,PRIME260100066037,Princeob,COCOBLUE RETAIL LIMITED,56084,PWH
PWH20413,ERP-B2B-SALE-2026-23666,2026-08-13 17:33:00,2026-08-13 17:50:00,Third Party,STT2502004676,A4 Size 300 Pages Spiral Binding Notebook  | Unruled Register Notebooks for Students & Office | Premium Quality Spiral Register for Writing & Note-Taking,,2026-08-17 04:32:00,Anas01,MTR.G0.R26.A04.L2.B2,8,,PW,STT2502004676,Default Vendor,PRIME260800031583,Princeob,COCOBLUE RETAIL LIMITED,56084,PWH
PWH20413,ERP-B2B-SALE-2026-23666,2026-08-13 17:33:00,2026-08-13 17:50:00,Third Party,STT2502005112,A4 Size 300 Pages Spiral Binding Notebook  | Ruled Register Notebooks for Students & Office | Premium Quality Plastic cover Spiral Register for Writing & Note-Taking,,2026-08-16 22:30:00,ManishKY,MTR.G0.R22.A02.L1.B1,5,,PW,STT2502005112,Default Vendor,PRIME260800031579,Princeob,COCOBLUE RETAIL LIMITED,56084,PWH
PWH20413,ERP-B2B-SALE-2026-23666,2026-08-13 17:33:00,2026-08-13 17:50:00,Third Party,STT2502004676,A4 Size 300 Pages Spiral Binding Notebook  | Unruled Register Notebooks for Students & Office | Premium Quality Spiral Register for Writing & Note-Taking,,2026-08-16 22:36:00,ManishKY,SPR.R18.A10.L0.B4,22,,PW,STT2502004676,Default Vendor,PRIME260800031584,Princeob,COCOBLUE RETAIL LIMITED,56084,PWH
PWH20413,ERP-B2B-SALE-2026-23666,2026-08-13 17:33:00,2026-08-13 17:50:00,Third Party,STT2502005112,A4 Size 300 Pages Spiral Binding Notebook  | Ruled Register Notebooks for Students & Office | Premium Quality Plastic cover Spiral Register for Writing & Note-Taking,,2026-08-16 22:30:00,ManishKY,MTR.G0.R22.A02.L1.B1,8,,PW,STT2502005112,Default Vendor,PRIME260800031580,Princeob,COCOBLUE RETAIL LIMITED,56084,PWH
PWH20414,ERP-B2B-SALE-2026-23665,2026-08-13 17:33:00,2026-08-17 12:14:00,Third Party,STT2504005097,A4 Size 300 Pages 6 subject Spiral Binding Notebook  set of 3| Ruled Register Notebooks for Students & Office | Premium Quality Plastic cover Spiral Register for Writing & Note-Taking,Size,2026-08-17 12:17:00,deepakb2b,GP_B2B,6,,PW,STT2504005097,Default Vendor,PRIME260800031570,Princeob,COCOBLUE RETAIL LIMITED,56268,PWH
